track_id,name,uri,genres,vietnamese_genres,emotion_genres
2qSn4VI8WfDy6NJrO2wLJH,Đất Việt Tiếng Vọng Ngàn Đời,spotify:track:2qSn4VI8WfDy6NJrO2wLJH,"['v-pop', 'vietnamese bolero', 'vinahouse']",['vietnamese bolero'],['v-pop']
6W7Dk5uGtG0b4evBLzgdoO,Hồn Thiêng Đất Việt,spotify:track:6W7Dk5uGtG0b4evBLzgdoO,"['v-pop', 'vietnamese bolero', 'bolero']",['vietnamese bolero'],['v-pop']
1lyfee1056eRrUPW8AZ3MH,Nam Quốc Sơn Hà,spotify:track:1lyfee1056eRrUPW8AZ3MH,['v-pop'],[],['v-pop']
1khMN4Adfi3LrZvxOq4YM5,Buồn Hay Vui,spotify:track:1khMN4Adfi3LrZvxOq4YM5,"['vietnamese hip hop', 'v-pop', 'vietnam indie']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
0BX2eDMZJrGzApf4ZGXrFi,"NGÁO NGƠ (feat. HIEUTHUHAI, ERIK, Anh Tú Atus, JSOL & Orange)",spotify:track:0BX2eDMZJrGzApf4ZGXrFi,"['v-pop', 'vietnamese hip hop']",['vietnamese hip hop'],['v-pop']
51bYFYWODfYOZU0rwvjiCc,Cho Mình Em,spotify:track:51bYFYWODfYOZU0rwvjiCc,"['vietnamese hip hop', 'v-pop', 'vinahouse', 'vietnam indie']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
1vtQjPCcdE7FgrxQd5doWP,Sao Cũng Được,spotify:track:1vtQjPCcdE7FgrxQd5doWP,"['vietnamese hip hop', 'v-pop', 'vinahouse', 'vietnam indie']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
5pjrSk2jdRrFUfQuCQrQC9,BLACKJACK,spotify:track:5pjrSk2jdRrFUfQuCQrQC9,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
0CHrNxDicPywQRzrNGR1dS,Bánh Bèo Đông Lào,spotify:track:0CHrNxDicPywQRzrNGR1dS,"['v-pop', 'vietnamese hip hop']",['vietnamese hip hop'],['v-pop']
79ME0P8ch9estARqe674HK,Tiền Nhiều Để Làm Gì (feat. Gducky),spotify:track:79ME0P8ch9estARqe674HK,"['vietnamese hip hop', 'v-pop']",['vietnamese hip hop'],['v-pop']
6KnTaCUx3egZCYiNJ9nQ8U,Lệ Lưu Ly Remix (Deep House),spotify:track:6KnTaCUx3egZCYiNJ9nQ8U,"['vinahouse', 'v-pop']",[],['v-pop']
0ljbDAWHXvX6Fbqy2qs98U,"Giàu Vì Bạn, Sang Vì Vợ (feat. RPT MCK)",spotify:track:0ljbDAWHXvX6Fbqy2qs98U,"['vietnamese hip hop', 'v-pop']",['vietnamese hip hop'],['v-pop']
5oFEvbM7lGnx8jfAkuhVyo,MỘNG YU,spotify:track:5oFEvbM7lGnx8jfAkuhVyo,"['v-pop', 'vietnamese hip hop', 'vietnam indie']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
0NpT2sJ8WbCM1uhs3oxXX9,HÀNH TRÌNH KHÔNG DỪNG (feat. MANBO),spotify:track:0NpT2sJ8WbCM1uhs3oxXX9,"['vietnamese hip hop', 'v-pop']",['vietnamese hip hop'],['v-pop']
3wFPfIQO8OZZ7Kc0BOjN9u,Em Có Muốn,spotify:track:3wFPfIQO8OZZ7Kc0BOjN9u,"['vietnamese hip hop', 'v-pop']",['vietnamese hip hop'],['v-pop']
1pQHqk6qWM5xbNeobMCGBZ,Dân Chơi Xóm (feat. RPT MCK & JustaTee),spotify:track:1pQHqk6qWM5xbNeobMCGBZ,"['vietnamese hip hop', 'v-pop']",['vietnamese hip hop'],['v-pop']
1myUryApdhfyfZRFzUUEUR,EM YÊU PUPPY (feat. Puppy),spotify:track:1myUryApdhfyfZRFzUUEUR,"['vietnamese hip hop', 'v-pop']",['vietnamese hip hop'],['v-pop']
7mXel6wlLmhjJD9ACeeOba,Thầy Bói Xem Voi (feat. DT & KymLeez),spotify:track:7mXel6wlLmhjJD9ACeeOba,"['vietnamese hip hop', 'v-pop']",['vietnamese hip hop'],['v-pop']
3IlRBIOd0MsAqPQo2711ne,2AM,spotify:track:3IlRBIOd0MsAqPQo2711ne,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
7pqx5vF7DzkVtEdsXQ9iua,"ĐẦU ĐỘI SỪNG (feat. Quân A.P, HURRYKNG & Hùng Huỳnh)",spotify:track:7pqx5vF7DzkVtEdsXQ9iua,"['v-pop', 'vietnamese hip hop']",['vietnamese hip hop'],['v-pop']
3UINUtFO4KYzF0fsLmdOx5,Dân Châu Á Đã Đi Vô Bar,spotify:track:3UINUtFO4KYzF0fsLmdOx5,"['vietnamese hip hop', 'v-pop', 'vietnamese lo-fi']","['vietnamese hip hop', 'vietnamese lo-fi']",['v-pop']
5sGAdzerznua6nkFZr4jW6,TUYẾT TRÊN PHỐ (feat. Gill),spotify:track:5sGAdzerznua6nkFZr4jW6,"['vietnamese hip hop', 'v-pop']",['vietnamese hip hop'],['v-pop']
2oVLEoBVDvYrGmzrU7dEm5,TRÀN BỘ NHỚ (feat. Dương Domic),spotify:track:2oVLEoBVDvYrGmzrU7dEm5,"['v-pop', 'vietnamese hip hop']",['vietnamese hip hop'],['v-pop']
37ull7GiBZRLhWYDBIYZzW,ANH ĐÃ LÀM GÌ ĐÂU (feat. Nhật Hoàng & Thùy Chi),spotify:track:37ull7GiBZRLhWYDBIYZzW,"['vietnamese hip hop', 'v-pop']",['vietnamese hip hop'],['v-pop']
5Fx8zxEEaPMkwzM00JFr3N,"Tự Sự - Original Soundtrack from ""Qua Bển Làm Chi""",spotify:track:5Fx8zxEEaPMkwzM00JFr3N,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
569B75eNRVDABuNz286Npc,Đìu Anh Luôn Giữ Kín Trong Tym,spotify:track:569B75eNRVDABuNz286Npc,"['vietnamese hip hop', 'v-pop', 'vietnam indie']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
6pZI0hE72OTSbsG12p8Fx4,Chú Chó Trên Ô Tô (feat. Tlinh),spotify:track:6pZI0hE72OTSbsG12p8Fx4,"['vietnamese hip hop', 'v-pop']",['vietnamese hip hop'],['v-pop']
4pLNKd4adQqEUvDfm4Q6wC,Người Miền Núi Chất (feat. Double2T),spotify:track:4pLNKd4adQqEUvDfm4Q6wC,"['vietnamese hip hop', 'v-pop']",['vietnamese hip hop'],['v-pop']
129tzbtZ8PRLVo33ymZigS,Anh Vẫn OK (feat. RPT MCK),spotify:track:129tzbtZ8PRLVo33ymZigS,"['vietnamese hip hop', 'v-pop']",['vietnamese hip hop'],['v-pop']
0MVhs5arrqKQKbWuwClZE7,Có Không Giữ Mất Rồi Buồn (feat. DT & Anh Tú),spotify:track:0MVhs5arrqKQKbWuwClZE7,"['vietnamese hip hop', 'v-pop']",['vietnamese hip hop'],['v-pop']
1LAdQfi4bXzNR7EAqKeWCn,Nhà Bao Việc (feat. R.Tee),spotify:track:1LAdQfi4bXzNR7EAqKeWCn,"['vietnamese hip hop', 'v-pop']",['vietnamese hip hop'],['v-pop']
